,chembl_id,canonical_smiles,absorption,emission,stokes_shift,quantum_yield,score
77798,CHEMBL3689788,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccn2c1NCCC(=O)NCCN(CC)CC,397.1401522029688,549.3289816063907,129.76269938427367,0.3489214866103754,0.5000249599758962
82711,CHEMBL3898459,O=C(Nc1sc(N2CCC(N3CC(F)C3)CC2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,375.6358035927783,471.9123943326664,115.1463725439168,0.3732059761133984,0.5000253363067438
32070,CHEMBL532640,COc1ccc(C2=C(Nc3ccc4oc5ccccc5c4c3)c3ccccc3C2=O)cc1,396.0669350579197,517.3874389443833,100.2282803360593,0.3467103577824165,0.5000253699547309
91596,CHEMBL4205828,CCOC(=O)/C=C1/SC(N2N=C(c3cc4ccccc4o3)CC2c2ccc(Cl)cc2)=NC1=O,432.601555206259,510.14389719428016,83.41546433242965,0.352915957873935,0.5000283685828831
26520,CHEMBL4752998,CCCCCn1c(-c2ccco2)nc2c(N(C)CCCO)ccnc21,402.6728230560849,505.7603505736821,98.49634952527867,0.4253532513809288,0.5000456741560849
60232,CHEMBL1895323,CCc1ccccc1N(C)C(=O)c1nn(C)c2c1CSc1ccccc1-2,387.9739678177629,511.42452360188497,117.49268230827565,0.3629763799139718,0.500051889205485
50670,CHEMBL5313469,c1ccc(-c2cc(-c3c(N4CCCC4)nc4ccccc4c3-c3ccccc3)nc3ccccc23)cc1,373.293270722298,484.1107228091705,116.33487498626684,0.4516999218187885,0.5000643167693645
51196,CHEMBL1487382,OCC1(Cc2ccccc2C(F)(F)F)CCN(Cc2ccc3c(c2)CCO3)CC1,370.6581663340556,429.2703609872011,88.28176874936295,0.5149831622242407,0.5000752183258529
6298,CHEMBL4445986,CS(=O)(=O)N1CCOC(C(=O)Nc2ccc(Cl)c(F)c2)C1,453.103776711312,518.7108883631187,85.25954545200905,0.388722609171458,0.5000763912017395
50742,CHEMBL5437023,C[C@@H](N)C(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)N2CCOCC2)cn3C2CC2)CC1,434.1966987586866,510.9609086881416,107.24224981140426,0.48408714784567,0.5000781394903623
28061,CHEMBL1829197,Cc1ccc(-c2nc3ccccc3c(-c3ccccc3)c2Sc2nc3ccccc3s2)cc1,394.31843725470645,484.2444814557546,105.868757674097,0.4958205336374643,0.5000790828246787
88961,CHEMBL4096241,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5cccnc5)CC4)ccc3C)cc12,352.22999405446643,429.1385990304743,95.74089362384046,0.4767359507432341,0.5000809071083623
82255,CHEMBL3883629,O=C(NN=C1CC(c2ccccc2)NC(c2ccccc2)C1)c1ccc(C(F)(F)F)cc1,324.6456323413185,389.7089575838521,77.46272474663037,0.4031928794752892,0.5000888438119451
18225,CHEMBL520044,CCOc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1,402.5974333675728,498.7387986747727,84.45773303427018,0.5026322841347207,0.5001040110743132
70124,CHEMBL3216535,CCN(CCNC(=O)c1ccnc(F)c1)CCNC(=O)c1cnc2cc([125I])ccc2n1.Cl.Cl,369.96504495908056,457.7850718053962,91.09775567881428,0.3674137712064767,0.5001178774462292
57485,CHEMBL1708839,COc1ccc(C2Nc3cccc(F)c3C(=O)N2Cc2ccccc2)cc1COc1ccc(NC(C)=O)cc1,436.8386965813791,499.73728223163096,100.92857486991514,0.481109869745062,0.5001441342827702
73873,CHEMBL3449987,CN(C)Cc1ccnc(C2CCCN2Cc2cccc(F)c2F)n1,431.9556853570508,474.22054713239146,76.51392331520492,0.4723158616220245,0.5001508770471348
38409,CHEMBL4923077,COCC(=O)N1CCC(CCOCc2ccccc2F)CC1,375.7454958472839,468.0045613562268,94.7163482206452,0.4523901287611903,0.5001631203111316
8016,CHEMBL4453500,CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCCCCCCNC(=O)c1ccccc1F,408.2417590300178,490.0860203804893,111.93681849865028,0.3987312900854602,0.5001675160959176
1975,CHEMBL69023,O=C(N1CCN(c2ccncc2Cl)CC1)N1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1,379.549570258953,468.8232796002478,113.78770019455284,0.3551601970915146,0.5001677694902955
90661,CHEMBL4163921,Cc1cc([C@H](C)Nc2nccc(N3C(=O)OC[C@@H]3CF)n2)ncc1-c1ccnc(C(F)(F)F)c1,394.53884814218594,446.5824528273824,88.34901178893004,0.4596121456219559,0.5001886969258222
14365,CHEMBL398230,Brc1ccc(Cn2ccc3nc(-c4cccc(Br)c4)nc-3c2)cc1,360.4707801434489,436.726036542522,85.51388680296749,0.3490588500683656,0.5002061227265888
7150,CHEMBL216920,Cc1ccc(Cn2ccc3nc(-c4ccccc4)nc-3c2)cc1,344.28751798811766,417.82572664882696,82.9560458077183,0.4101784840193375,0.5002337821358115
72049,CHEMBL3397821,CCCCCCN(c1ccc(O)cc1)c1ccc(OCCN2CCCCCC2)cc1,395.43581947218297,511.22138129268654,86.94171904684977,0.5535503635992514,0.5002553560135901
78,CHEMBL6932,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(C2(C)CC2Cn2oc(=O)[nH]c2=O)c1,406.0688382686414,471.2515490262719,100.59306176981175,0.3475866951695762,0.5002638053838715
54501,CHEMBL1597891,Cc1ccc(-c2nnn(CC(=O)N(CCCO)C(C(=O)NC3CCCC3)c3ccc(F)cc3)n2)o1,345.69953150978574,443.29565055567855,100.80014159365264,0.3573662792278516,0.5002852850950216
21135,CHEMBL4559177,CC(=O)N1CCC(c2nc3c(C(N)=O)c(F)ccc3[nH]2)CC1,396.9877577441516,491.770106611132,83.51204377658607,0.3625768344038529,0.500300985451539
68414,CHEMBL2236110,CN(C)c1ccc(/N=N/c2ccc(C(=O)NCCOCCOCCOCCOCc3ccc(-c4cc(=O)c5c(ccc6ccccc65)o4)cc3)cc2)cc1,436.6116852131532,541.9774668708584,111.65978560476104,0.4902111063764114,0.500310589231125
25828,CHEMBL4745605,CCOC(=O)c1cnc2c(OC)cccc2c1-c1ccc(-c2ccccc2SC)nc1,381.0948618555544,520.0327750790807,117.16361023884768,0.3557855228740899,0.5003203964602722
83835,CHEMBL3921367,CS(=O)(=O)[C@H]1CC[C@H](c2cnc(N)c(-c3ccc(C(=O)NCc4ccccc4)c(F)c3)n2)CC1,426.5830163043153,512.5632439592874,79.19862755354504,0.4568442569405209,0.5003213106558432
89131,CHEMBL4106597,CS(=O)(=O)[C@H]1CC[C@@H](c2cnc(N)c(-c3ccc(C(=O)NCc4ccccc4)c(F)c3)n2)CC1,426.5830163043153,512.5632439592874,79.19862755354504,0.4568442569405209,0.5003213106558432
6639,CHEMBL208688,CC(C)S(=O)(=O)N1CCC2(CC1)CC2(c1ccc(-c2cccc(C#N)c2)cc1)c1nc2cc(F)c(C(F)(F)F)cc2[nH]1,464.5207605026701,534.9915012425358,83.30469959131703,0.5999392907248109,0.5003281406237451
81683,CHEMBL3800356,CC(C)COc1ccc(-c2cc(C(=O)O)nn2-c2ccccc2)cc1,364.7317602895933,467.5974260083965,85.5095256986531,0.4311524471698775,0.5003299657051022
74584,CHEMBL3488032,CCC(C)NC(=O)CCc1ccc(OCC(F)(F)F)c(OC)c1,377.1965975383818,423.5358024331359,81.19071129747077,0.4578954796219174,0.5003320057628959
14891,CHEMBL420468,CCCCOC(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Br)cn12,411.8956272293222,470.4085666689662,108.6103849657219,0.4939363487376401,0.5003385447101776
53721,CHEMBL1573144,COc1ccc2oc3cc(C)[n+]([O-])c(-c4ccc(C)cc4)c3c2c1,424.4701082413579,526.9884128272593,81.61658061927757,0.4531165127100252,0.5003400795473268
86178,CHEMBL3979987,O=C(O)CC1CCC(c2ccc(-c3cn4cc(C(=O)NCc5ccc(OC(F)(F)F)cc5)nc4s3)cc2)CC1,389.9133432562047,514.4453526472558,84.6395145126775,0.3611229921970628,0.5003477758132299
83202,CHEMBL3890685,O=C(O)COC[C@H]1CC[C@H](COC(=O)N(c2ccccc2)c2ccc(F)c(Cl)c2)CC1,402.21436265079615,477.6478187927351,89.10076454431108,0.4316185539970582,0.5003488934841263
48232,CHEMBL5413915,CCCCn1cc(C(=O)NCc2ccc(C#N)cc2)c(=O)c2c(F)cc(N3CCOCC3)cc21,471.24446127310233,540.4273067644625,97.5086577003022,0.3429098781873871,0.5003592081399667
37069,CHEMBL4959392,COc1ccc(F)c(CN2CCCO[C@@H](CN3CCOCC3)C2)c1,341.47321255846214,439.1643306974239,85.30456142138168,0.4217816234674029,0.5003604112871344
32995,CHEMBL4914171,O=C(c1ccc(C(F)(F)F)cc1)N1CC[C@H](n2cncn2)C1,356.429342719074,469.5286066819833,100.59474321902827,0.3941424119518198,0.5003626856738035
80862,CHEMBL3732798,Cn1c(N2CCO[C@@H](c3ccc(N4CC(O)C4)cc3)C2)nc(-c2ccncc2F)cc1=O,406.032187695004,446.6995627579085,111.64015161592596,0.3923168735885795,0.5003719564062981
43265,CHEMBL1374493,COc1ccc2nc(N3CCN(C(=O)c4ccc5ncsc5c4)CC3)sc2c1,384.5708806873596,504.2562353916577,99.89153255074568,0.3567414071435094,0.5003730834636422
83547,CHEMBL3933597,COc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4C(N)=O)CC3)n2)ccc1F,367.97096171984725,503.2532928151927,102.72948496916833,0.3525333890920533,0.5003734362644238
2207,CHEMBL75818,CC(C)COC(=O)n1c2cc(F)ccc2c2oc(C(=O)N3CCOCC3)cc21,387.7482280825028,456.94207987397925,76.30103051263696,0.3552012966270491,0.5003800985646525
79362,CHEMBL3663280,Cc1cncc(-c2nnc3n2C[C@H](C)N(Cc2cccc(C(F)(F)F)c2Cl)C3=O)c1,344.99289245400155,444.9552937043355,84.24565885513216,0.5833335090600366,0.5003831432358667
51329,CHEMBL1457802,CN(C(=O)COc1nnc(-c2cccs2)c(-c2cccs2)n1)c1ccccc1,356.7399728398178,480.4845709225544,99.63259417589406,0.3513893599092687,0.5003840866274365
11993,CHEMBL4471721,Clc1ccc(CNc2ccc(-c3nc4ccccc4o3)cc2)cc1,323.3439457884059,382.4078850631194,81.77587338934845,0.3657321579140344,0.5003951956041449
70657,CHEMBL3197060,CC1=C(C#N)C(=O)N(CCCO)C(=O)/C1=N\c1ccc(N(C)C)cc1,401.7504131543655,522.9801376704529,99.01670274883136,0.3979223358836193,0.5004016309569124
56314,CHEMBL1703027,Cc1ccc(C)c(NC(=O)CSC2=Nc3ccccc3N=C(c3ccc(F)cc3)C2)c1,436.7331919526528,486.2984547827313,91.12233778222928,0.397418639625812,0.5004147529416298
